Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
Normal superior,1598.000,0.369,0.141,2599.000,0.600,0.152,128.000,0.030,0.137,6.000,0.001,0.087,1746.000,0.403,0.141,2455.000,0.567,0.152,121.000,0.028,0.132,9.000,0.002,0.108,1787.000,0.413,0.141,2410.000,0.556,0.153,123.000,0.028,0.124,11.000,0.003,0.138,1594.000,0.368,0.139,2610.000,0.603,0.154,117.000,0.027,0.117,10.000,0.002,0.130,1461.000,0.337,0.139,2574.000,0.594,0.152,268.000,0.062,0.146,28.000,0.006,0.130
Normal Intercultural Bilingüe,4.000,0.267,0.000,11.000,0.733,0.001,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.333,0.000,9.000,0.600,0.001,1.000,0.067,0.001,0.000,0.000,0.000,4.000,0.267,0.000,11.000,0.733,0.001,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.333,0.000,9.000,0.600,0.001,1.000,0.067,0.001,0.000,0.000,0.000,4.000,0.267,0.000,9.000,0.600,0.001,1.000,0.067,0.001,1.000,0.067,0.005
Licenciatura,5939.000,0.370,0.522,9547.000,0.595,0.557,516.000,0.032,0.551,38.000,0.002,0.551,6558.000,0.409,0.530,8933.000,0.557,0.554,504.000,0.031,0.548,45.000,0.003,0.542,6683.000,0.417,0.529,8780.000,0.547,0.556,537.000,0.033,0.540,40.000,0.002,0.500,6043.000,0.377,0.528,9408.000,0.587,0.554,552.000,0.034,0.552,37.000,0.002,0.481,5579.000,0.348,0.530,9357.000,0.583,0.553,997.000,0.062,0.543,107.000,0.007,0.495
Especialidad,298.000,0.401,0.026,404.000,0.544,0.024,38.000,0.051,0.041,3.000,0.004,0.043,309.000,0.416,0.025,413.000,0.556,0.026,17.000,0.023,0.018,4.000,0.005,0.048,318.000,0.428,0.025,391.000,0.526,0.025,32.000,0.043,0.032,2.000,0.003,0.025,286.000,0.385,0.025,422.000,0.568,0.025,32.000,0.043,0.032,3.000,0.004,0.039,269.000,0.362,0.026,411.000,0.553,0.024,56.000,0.075,0.030,7.000,0.009,0.032
Maestría,2911.000,0.431,0.256,3620.000,0.536,0.211,207.000,0.031,0.221,18.000,0.003,0.261,3094.000,0.458,0.250,3424.000,0.507,0.212,219.000,0.032,0.238,19.000,0.003,0.229,3147.000,0.466,0.249,3352.000,0.496,0.212,237.000,0.035,0.238,20.000,0.003,0.250,2891.000,0.428,0.253,3602.000,0.533,0.212,240.000,0.036,0.240,23.000,0.003,0.299,2594.000,0.384,0.247,3689.000,0.546,0.218,416.000,0.062,0.226,57.000,0.008,0.264
Doctorado,327.000,0.440,0.029,385.000,0.517,0.022,29.000,0.039,0.031,3.000,0.004,0.043,351.000,0.472,0.028,361.000,0.485,0.022,29.000,0.039,0.032,3.000,0.004,0.036,366.000,0.492,0.029,337.000,0.453,0.021,39.000,0.052,0.039,2.000,0.003,0.025,327.000,0.440,0.029,376.000,0.505,0.022,39.000,0.052,0.039,2.000,0.003,0.026,310.000,0.417,0.029,372.000,0.500,0.022,53.000,0.071,0.029,9.000,0.012,0.042
Posdoctorado,21.000,0.750,0.002,7.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.643,0.001,9.000,0.321,0.001,1.000,0.036,0.001,0.000,0.000,0.000,19.000,0.679,0.002,7.000,0.250,0.000,2.000,0.071,0.002,0.000,0.000,0.000,19.000,0.679,0.002,9.000,0.321,0.001,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.643,0.002,9.000,0.321,0.001,0.000,0.000,0.000,1.000,0.036,0.005
Menor o igual a 10,3850.000,0.411,0.339,5209.000,0.556,0.304,291.000,0.031,0.311,26.000,0.003,0.377,4102.000,0.438,0.331,4924.000,0.525,0.306,322.000,0.034,0.350,28.000,0.003,0.337,4212.000,0.449,0.333,4834.000,0.516,0.306,299.000,0.032,0.301,31.000,0.003,0.388,3795.000,0.405,0.332,5211.000,0.556,0.307,336.000,0.036,0.336,34.000,0.004,0.442,3536.000,0.377,0.336,5201.000,0.555,0.307,567.000,0.060,0.309,72.000,0.008,0.333
11 a 20,4177.000,0.369,0.367,6749.000,0.596,0.394,376.000,0.033,0.401,23.000,0.002,0.333,4499.000,0.397,0.363,6419.000,0.567,0.398,377.000,0.033,0.410,29.000,0.003,0.349,4634.000,0.409,0.367,6266.000,0.553,0.397,399.000,0.035,0.401,25.000,0.002,0.313,4142.000,0.366,0.362,6752.000,0.596,0.398,406.000,0.036,0.406,24.000,0.002,0.312,3846.000,0.340,0.366,6685.000,0.590,0.395,714.000,0.063,0.389,79.000,0.007,0.366
21 a 30,3343.000,0.380,0.294,5169.000,0.587,0.302,270.000,0.031,0.288,20.000,0.002,0.290,3783.000,0.430,0.305,4774.000,0.542,0.296,220.000,0.025,0.239,26.000,0.003,0.313,3789.000,0.430,0.300,4693.000,0.533,0.297,297.000,0.034,0.298,24.000,0.003,0.300,3509.000,0.399,0.307,5017.000,0.570,0.295,258.000,0.029,0.258,19.000,0.002,0.247,3139.000,0.357,0.298,5043.000,0.573,0.298,556.000,0.063,0.303,65.000,0.007,0.301
