Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
ESTADO DE MÉXICO,1158.000,0.983,0.040,18.000,0.015,0.053,2.000,0.002,0.022,1136.000,0.964,0.040,35.000,0.030,0.044,7.000,0.006,0.033,1040.000,0.883,0.041,112.000,0.095,0.037,26.000,0.022,0.031,1080.000,0.917,0.040,62.000,0.053,0.050,36.000,0.031,0.031,1040.000,0.883,0.040,100.000,0.085,0.043,38.000,0.032,0.029,837.000,0.711,0.037,248.000,0.211,0.051,93.000,0.079,0.043,821.000,0.697,0.040,250.000,0.212,0.041,107.000,0.091,0.038,756.000,0.642,0.037,293.000,0.249,0.047,129.000,0.110,0.042,668.000,0.567,0.036,339.000,0.288,0.051,171.000,0.145,0.039
GUANAJUATO,1687.000,0.986,0.058,17.000,0.010,0.050,7.000,0.004,0.078,1666.000,0.974,0.058,33.000,0.019,0.041,12.000,0.007,0.056,1503.000,0.878,0.059,170.000,0.099,0.056,38.000,0.022,0.046,1625.000,0.950,0.060,46.000,0.027,0.037,40.000,0.023,0.035,1469.000,0.859,0.057,139.000,0.081,0.060,103.000,0.060,0.078,1356.000,0.793,0.060,250.000,0.146,0.051,105.000,0.061,0.049,1257.000,0.735,0.061,302.000,0.177,0.049,152.000,0.089,0.054,1258.000,0.735,0.062,290.000,0.169,0.046,163.000,0.095,0.054,1173.000,0.686,0.064,305.000,0.178,0.046,233.000,0.136,0.054
GUERRERO,244.000,0.984,0.008,0.000,0.000,0.000,4.000,0.016,0.044,241.000,0.972,0.008,7.000,0.028,0.009,0.000,0.000,0.000,213.000,0.859,0.008,30.000,0.121,0.010,5.000,0.020,0.006,204.000,0.823,0.008,22.000,0.089,0.018,22.000,0.089,0.019,199.000,0.802,0.008,25.000,0.101,0.011,24.000,0.097,0.018,191.000,0.770,0.008,36.000,0.145,0.007,21.000,0.085,0.010,164.000,0.661,0.008,60.000,0.242,0.010,24.000,0.097,0.009,150.000,0.605,0.007,66.000,0.266,0.011,32.000,0.129,0.011,139.000,0.560,0.008,67.000,0.270,0.010,42.000,0.169,0.010
HIDALGO,1030.000,0.988,0.035,12.000,0.012,0.035,1.000,0.001,0.011,1018.000,0.976,0.036,18.000,0.017,0.022,7.000,0.007,0.033,929.000,0.891,0.036,90.000,0.086,0.030,24.000,0.023,0.029,972.000,0.932,0.036,49.000,0.047,0.040,22.000,0.021,0.019,900.000,0.863,0.035,118.000,0.113,0.051,25.000,0.024,0.019,737.000,0.707,0.033,209.000,0.200,0.043,97.000,0.093,0.045,731.000,0.701,0.036,216.000,0.207,0.035,96.000,0.092,0.034,672.000,0.644,0.033,252.000,0.242,0.040,119.000,0.114,0.039,610.000,0.585,0.033,277.000,0.266,0.041,156.000,0.150,0.036
JALISCO,1243.000,0.988,0.043,13.000,0.010,0.038,2.000,0.002,0.022,1231.000,0.979,0.043,20.000,0.016,0.025,7.000,0.006,0.033,1114.000,0.886,0.043,120.000,0.095,0.040,24.000,0.019,0.029,1132.000,0.900,0.042,39.000,0.031,0.031,87.000,0.069,0.075,1127.000,0.896,0.044,81.000,0.064,0.035,50.000,0.040,0.038,1015.000,0.807,0.045,168.000,0.134,0.034,75.000,0.060,0.035,884.000,0.703,0.043,240.000,0.191,0.039,134.000,0.107,0.048,879.000,0.699,0.043,239.000,0.190,0.038,140.000,0.111,0.046,815.000,0.648,0.044,254.000,0.202,0.038,189.000,0.150,0.043
MICHOACÁN,11.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.909,0.000,1.000,0.091,0.000,0.000,0.000,0.000,10.000,0.909,0.000,1.000,0.091,0.001,0.000,0.000,0.000,10.000,0.909,0.000,0.000,0.000,0.000,1.000,0.091,0.001,11.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.455,0.000,5.000,0.455,0.001,1.000,0.091,0.000,7.000,0.636,0.000,4.000,0.364,0.001,0.000,0.000,0.000,9.000,0.818,0.000,2.000,0.182,0.000,0.000,0.000,0.000
MORELOS,1494.000,0.987,0.051,14.000,0.009,0.041,5.000,0.003,0.056,1450.000,0.959,0.051,46.000,0.030,0.057,16.000,0.011,0.075,1287.000,0.851,0.050,182.000,0.120,0.060,43.000,0.028,0.052,1405.000,0.929,0.052,56.000,0.037,0.045,51.000,0.034,0.044,1366.000,0.903,0.053,108.000,0.071,0.047,39.000,0.026,0.029,1124.000,0.744,0.050,277.000,0.183,0.057,110.000,0.073,0.051,1019.000,0.674,0.050,353.000,0.233,0.057,140.000,0.093,0.050,1002.000,0.663,0.050,353.000,0.233,0.057,157.000,0.104,0.052,906.000,0.599,0.049,386.000,0.255,0.058,221.000,0.146,0.051
NAYARIT,639.000,0.986,0.022,9.000,0.014,0.026,0.000,0.000,0.000,627.000,0.968,0.022,17.000,0.026,0.021,4.000,0.006,0.019,577.000,0.890,0.022,50.000,0.077,0.016,21.000,0.032,0.025,591.000,0.912,0.022,24.000,0.037,0.019,33.000,0.051,0.029,577.000,0.890,0.022,35.000,0.054,0.015,36.000,0.056,0.027,527.000,0.813,0.023,83.000,0.128,0.017,38.000,0.059,0.018,449.000,0.693,0.022,132.000,0.204,0.021,67.000,0.103,0.024,445.000,0.687,0.022,141.000,0.218,0.023,62.000,0.096,0.020,446.000,0.688,0.024,134.000,0.207,0.020,68.000,0.105,0.016
NUEVO LEÓN,101.000,0.981,0.003,1.000,0.010,0.003,1.000,0.010,0.011,101.000,0.981,0.004,0.000,0.000,0.000,2.000,0.019,0.009,92.000,0.893,0.004,9.000,0.087,0.003,2.000,0.019,0.002,95.000,0.922,0.004,2.000,0.019,0.002,6.000,0.058,0.005,86.000,0.835,0.003,10.000,0.097,0.004,7.000,0.068,0.005,77.000,0.748,0.003,20.000,0.194,0.004,6.000,0.058,0.003,74.000,0.718,0.004,22.000,0.214,0.004,7.000,0.068,0.003,72.000,0.699,0.004,22.000,0.214,0.004,9.000,0.087,0.003,66.000,0.641,0.004,25.000,0.243,0.004,12.000,0.117,0.003
PUEBLA,879.000,0.984,0.030,13.000,0.015,0.038,1.000,0.001,0.011,871.000,0.975,0.031,17.000,0.019,0.021,5.000,0.006,0.023,785.000,0.879,0.031,81.000,0.091,0.027,27.000,0.030,0.033,786.000,0.880,0.029,40.000,0.045,0.032,67.000,0.075,0.058,775.000,0.868,0.030,61.000,0.068,0.026,57.000,0.064,0.043,677.000,0.758,0.030,155.000,0.174,0.032,61.000,0.068,0.028,656.000,0.735,0.032,159.000,0.178,0.026,78.000,0.087,0.028,631.000,0.707,0.031,181.000,0.203,0.029,81.000,0.091,0.027,566.000,0.634,0.031,207.000,0.232,0.031,120.000,0.134,0.028
